,Overview,2022,2021,2020,2019,2018
CurrentPrice,137.8700,,,,,
Symbol,AAPL,,,,,
EBITDA,130541003000,,,,,
PERatio,22.56,,,,,
PEGRatio,2.75,,,,,
BookValue,3.178,,,,,
DividendYield,0.0067,,,,,
EPS,6.11,,,,,
RevenuePerShareTTM,24.32,,,,,
ProfitMargin,0.253,,,,,
OperatingMarginTTM,0.303,,,,,
ReturnOnAssetsTTM,0.212,,,,,
ReturnOnEquityTTM,1.755,,,,,
AnalystTargetPrice,171.48,,,,,
TrailingPE,22.56,,,,,
ForwardPE,23.09,,,,,
PriceToBookRatio,44.63,,,,,
52WeekHigh,178.8,,,,,
52WeekLow,124.17,,,,,
50DayMovingAverage,139.18,,,,,
200DayMovingAverage,148.99,,,,,
totalAssets,,352755000000.0,351002000000.0,323888000000.0,338516000000.0,365725000000.0
currentDebt,,21239000000.0,15692000000.0,13793000000.0,16240000000.0,20748000000.0
totalShareholderEquity,,50672000000.0,63090000000.0,65339000000.0,90488000000.0,107147000000.0
grossProfit,,170782000000.0,152836000000.0,104956000000.0,98392000000.0,101839000000.0
totalRevenue,,391397000000.0,363172000000.0,271642000000.0,256598000000.0,265595000000.0
operatingIncome,,119437000000.0,108949000000.0,66288000000.0,63930000000.0,70898000000.0
operatingCashflow,,122151000000.0,104038000000.0,80674000000.0,69391000000.0,77434000000.0
