,Overview,2021,2020,2019,2018,2017
CurrentPrice,97.2500,,,,,
Symbol,AMZN,,,,,
EBITDA,51549000000,,,,,
PERatio,90.05,,,,,
PEGRatio,4.953,,,,,
BookValue,13.48,,,,,
DividendYield,0,,,,,
EPS,1.08,,,,,
RevenuePerShareTTM,49.35,,,,,
ProfitMargin,0.0226,,,,,
OperatingMarginTTM,0.0258,,,,,
ReturnOnAssetsTTM,0.02,,,,,
ReturnOnEquityTTM,0.0878,,,,,
AnalystTargetPrice,136.38,,,,,
TrailingPE,90.05,,,,,
ForwardPE,43.86,,,,,
PriceToBookRatio,6.61,,,,,
52WeekHigh,170.83,,,,,
52WeekLow,81.43,,,,,
50DayMovingAverage,90.96,,,,,
200DayMovingAverage,114.64,,,,,
totalAssets,,420549000000.0,321195000000.0,225248000000.0,162648000000.0,131310000000.0
currentDebt,,9574000000.0,11529000000.0,14330000000.0,9071000000.0,5900000000.0
totalShareholderEquity,,138245000000.0,93404000000.0,62060000000.0,43549000000.0,27709000000.0
grossProfit,,126928000000.0,102560000000.0,67626000000.0,65283000000.0,51222000000.0
totalRevenue,,467958000000.0,384452000000.0,278902000000.0,231264000000.0,177265000000.0
operatingIncome,,24879000000.0,22899000000.0,14541000000.0,12421000000.0,4106000000.0
operatingCashflow,,46327000000.0,66064000000.0,38514000000.0,30723000000.0,18365000000.0
