,Overview,2022,2021,2020,2019,2018
CurrentPrice,117.1200,,,,,
Symbol,ZS,,,,,
EBITDA,-292465984,,,,,
PERatio,None,,,,,
PEGRatio,2.115,,,,,
BookValue,2.991,,,,,
DividendYield,0,,,,,
EPS,-2.674,,,,,
RevenuePerShareTTM,8.57,,,,,
ProfitMargin,-0.302,,,,,
OperatingMarginTTM,-0.264,,,,,
ReturnOnAssetsTTM,-0.0787,,,,,
ReturnOnEquityTTM,-0.765,,,,,
AnalystTargetPrice,171.68,,,,,
TrailingPE,-,,,,,
ForwardPE,99.01,,,,,
PriceToBookRatio,41.18,,,,,
52WeekHigh,290.47,,,,,
52WeekLow,99.64,,,,,
50DayMovingAverage,120.77,,,,,
200DayMovingAverage,154.54,,,,,
totalAssets,,2832665000,2257631000,1833458000,604162000,447781000
currentDebt,,None,None,None,None,None
totalShareholderEquity,,573300000,528895000,484829000,308558000,240236000
grossProfit,,848664000,522783000,335536000,243167000,152299000
totalRevenue,,1090946000,673100000,431269000,302836000,190174000
operatingIncome,,-327429000,-207812000,-113956000,-35313000,-34624000
operatingCashflow,,321912000,202040000,79317000,58027000,17307000
